index	name	color	Network
1	7Networks_LH_Vis_1	#781283	Vis
2	7Networks_LH_Vis_2	#781284	Vis
3	7Networks_LH_Vis_3	#781285	Vis
4	7Networks_LH_Vis_4	#781287	Vis
5	7Networks_LH_Vis_5	#781288	Vis
6	7Networks_LH_Vis_6	#781289	Vis
7	7Networks_LH_Vis_7	#78128a	Vis
8	7Networks_LH_Vis_8	#78128b	Vis
9	7Networks_LH_Vis_9	#78128c	Vis
10	7Networks_LH_SomMot_1	#4682b3	SomMot
11	7Networks_LH_SomMot_2	#4682b5	SomMot
12	7Networks_LH_SomMot_3	#4682b6	SomMot
13	7Networks_LH_SomMot_4	#4682b7	SomMot
14	7Networks_LH_SomMot_5	#4682b8	SomMot
15	7Networks_LH_SomMot_6	#4682b9	SomMot
16	7Networks_LH_DorsAttn_Post_1	#00760d	DorsAttn
17	7Networks_LH_DorsAttn_Post_2	#00760f	DorsAttn
18	7Networks_LH_DorsAttn_Post_3	#007610	DorsAttn
19	7Networks_LH_DorsAttn_Post_4	#007611	DorsAttn
20	7Networks_LH_DorsAttn_Post_5	#007612	DorsAttn
21	7Networks_LH_DorsAttn_Post_6	#007613	DorsAttn
22	7Networks_LH_DorsAttn_PrCv_1	#007614	DorsAttn
23	7Networks_LH_DorsAttn_FEF_1	#007615	DorsAttn
24	7Networks_LH_SalVentAttn_ParOper_1	#c43afb	SalVentAttn
25	7Networks_LH_SalVentAttn_FrOperIns_1	#c43bfb	SalVentAttn
26	7Networks_LH_SalVentAttn_FrOperIns_2	#c43bfc	SalVentAttn
27	7Networks_LH_SalVentAttn_PFCl_1	#c43bfd	SalVentAttn
28	7Networks_LH_SalVentAttn_Med_1	#c53afb	SalVentAttn
29	7Networks_LH_SalVentAttn_Med_2	#c53afc	SalVentAttn
30	7Networks_LH_SalVentAttn_Med_3	#c53afd	SalVentAttn
31	7Networks_LH_Limbic_OFC_1	#dcf8a5	Limbic
32	7Networks_LH_Limbic_TempPole_1	#dcf8a6	Limbic
33	7Networks_LH_Limbic_TempPole_2	#dcf8a7	Limbic
34	7Networks_LH_Cont_Par_1	#e69423	Cont
35	7Networks_LH_Cont_PFCl_1	#e69524	Cont
36	7Networks_LH_Cont_pCun_1	#e79523	Cont
37	7Networks_LH_Cont_Cing_1	#e79524	Cont
38	7Networks_LH_Default_Temp_1	#cd3e50	Default
39	7Networks_LH_Default_Temp_2	#cd3e51	Default
40	7Networks_LH_Default_Par_1	#cd3e52	Default
41	7Networks_LH_Default_Par_2	#cd3e53	Default
42	7Networks_LH_Default_PFC_1	#cd3f4c	Default
43	7Networks_LH_Default_PFC_2	#cd3f4d	Default
44	7Networks_LH_Default_PFC_3	#cd3f4f	Default
45	7Networks_LH_Default_PFC_4	#cd3f50	Default
46	7Networks_LH_Default_PFC_5	#cd3f51	Default
47	7Networks_LH_Default_PFC_6	#cd3f52	Default
48	7Networks_LH_Default_PFC_7	#cd3f53	Default
49	7Networks_LH_Default_pCunPCC_1	#cd3f54	Default
50	7Networks_LH_Default_pCunPCC_2	#cd3f55	Default
51	7Networks_RH_Vis_1	#7c1285	Vis
52	7Networks_RH_Vis_2	#7c1286	Vis
53	7Networks_RH_Vis_3	#7c1288	Vis
54	7Networks_RH_Vis_4	#7c1289	Vis
55	7Networks_RH_Vis_5	#7c128a	Vis
56	7Networks_RH_Vis_6	#7c128b	Vis
57	7Networks_RH_Vis_7	#7c128c	Vis
58	7Networks_RH_Vis_8	#7c128d	Vis
59	7Networks_RH_SomMot_1	#4a82b3	SomMot
60	7Networks_RH_SomMot_2	#4a82b4	SomMot
61	7Networks_RH_SomMot_3	#4a82b6	SomMot
62	7Networks_RH_SomMot_4	#4a82b7	SomMot
63	7Networks_RH_SomMot_5	#4a82b8	SomMot
64	7Networks_RH_SomMot_6	#4a82b9	SomMot
65	7Networks_RH_SomMot_7	#4a82ba	SomMot
66	7Networks_RH_SomMot_8	#4a82bb	SomMot
67	7Networks_RH_DorsAttn_Post_1	#04770e	DorsAttn
68	7Networks_RH_DorsAttn_Post_2	#047710	DorsAttn
69	7Networks_RH_DorsAttn_Post_3	#047711	DorsAttn
70	7Networks_RH_DorsAttn_Post_4	#047712	DorsAttn
71	7Networks_RH_DorsAttn_Post_5	#047713	DorsAttn
72	7Networks_RH_DorsAttn_PrCv_1	#05760f	DorsAttn
73	7Networks_RH_DorsAttn_FEF_1	#057610	DorsAttn
74	7Networks_RH_SalVentAttn_TempOccPar_1	#c93afc	SalVentAttn
75	7Networks_RH_SalVentAttn_TempOccPar_2	#c93afd	SalVentAttn
76	7Networks_RH_SalVentAttn_FrOperIns_1	#c93bfc	SalVentAttn
77	7Networks_RH_SalVentAttn_Med_1	#c839fa	SalVentAttn
78	7Networks_RH_SalVentAttn_Med_2	#c839fb	SalVentAttn
79	7Networks_RH_Limbic_OFC_1	#e0f9a5	Limbic
80	7Networks_RH_Limbic_TempPole_1	#e0f9a6	Limbic
81	7Networks_RH_Cont_Par_1	#ea9323	Cont
82	7Networks_RH_Cont_Par_2	#ea9324	Cont
83	7Networks_RH_Cont_PFCl_1	#e99422	Cont
84	7Networks_RH_Cont_PFCl_2	#e99423	Cont
85	7Networks_RH_Cont_PFCl_3	#e99424	Cont
86	7Networks_RH_Cont_PFCl_4	#e99425	Cont
87	7Networks_RH_Cont_Cing_1	#ea9425	Cont
88	7Networks_RH_Cont_PFCmp_1	#ea9426	Cont
89	7Networks_RH_Cont_pCun_1	#ea9427	Cont
90	7Networks_RH_Default_Par_1	#d13e4e	Default
91	7Networks_RH_Default_Temp_1	#d13d4f	Default
92	7Networks_RH_Default_Temp_2	#d13d50	Default
93	7Networks_RH_Default_Temp_3	#d13d51	Default
94	7Networks_RH_Default_PFCv_1	#d13d4e	Default
95	7Networks_RH_Default_PFCv_2	#d13d52	Default
96	7Networks_RH_Default_PFCdPFCm_1	#d03e4f	Default
97	7Networks_RH_Default_PFCdPFCm_2	#d03e50	Default
98	7Networks_RH_Default_PFCdPFCm_3	#d03e51	Default
99	7Networks_RH_Default_pCunPCC_1	#d03e4e	Default
100	7Networks_RH_Default_pCunPCC_2	#d03e52	Default
